Name,Made from,Country of origin,Region,Family,Type,Fat content (in dry matter),Fat content,Calcium content,Texture,Rind,Colour,Flavour,Aroma,Vegetarian,Producers,Synonyms,Alternative spellings
Island Brebis,unpasteurized sheep's milk,United States,Whidbey Island,Tomme,"semi-hard, artisan",,,,"creamy, dense, firm, grainy and smooth",natural,,"nutty, sweet",herbal, no ,Glendale Shepherd,,
Island Bries ,pasteurized cow's milk,Canada,British Columbia,Brie,"soft, artisan, soft-ripened",,25%,,"buttery, creamy, runny, soft and soft-ripened",bloomy,pale yellow,"creamy, mild, mushroomy","earthy, grassy, mushroom",,Little Qualicum Cheeseworks,,
Isle of Man Cracked Peppercorn,pasteurized cow's milk,Isle of Man,Isle of Man,Cheddar,"hard, artisan",,,,"close, creamy, firm and smooth",natural,yellow,"salty, savory, sharp, spicy",, no ,Isle of Man Creameries,,
Isle of Man Mature Cheddar,pasteurized cow's milk,Great Britain and Isle of Man,Isle of Man,Cheddar,"hard, artisan",,33%,,"close, creamy, firm and smooth",natural,yellow,"nutty, salty, sharp, sweet",, no ,Isle of Man Creameries,,
Isle of Man Mild Cheddar,pasteurized cow's milk,Great Britain and Isle of Man,Isle of Man,Cheddar,"hard, artisan",,33%,,creamy and firm,natural,yellow,"creamy, subtle",, no ,Isle of Man Creameries,,
Isle of Man Mild Coloured Cheddar,pasteurized cow's milk,Great Britain and Isle of Man,Isle of Man,Cheddar,"hard, artisan",,33%,,creamy and firm,natural,golden yellow,"creamy, subtle",, no ,Isle of Man Creameries,,
Isle of Mull,unpasteurized cow's milk,Scotland and United Kingdom,Inner Hebrides,Cheddar,"hard, artisan",,,,chewy and creamy,cloth wrapped,ivory,"fruity, sharp, strong, tangy","pungent, yeasty", no ,Isle of Mull Cheese,,"Isle of Mull (Reade's) Cheddar, Isle of Mull Cheddar"
Istara Chistou,cow's and sheep's milk,France,,,"semi-hard, artisan",,,,smooth,natural,pale yellow,"full-flavored, smooth, tangy","pleasant, rich",," Lactalis Deli, Inc., President Cheese",,
Istara Kaikou,pasteurized sheep's milk,France,Basque,,"hard, artisan",,,,crumbly and firm,natural,,"piquant, salty, strong","grassy, herbal",," Lactalis Deli, Inc.",,
Jalapeno Cheddar,pasteurized cow's milk,United States,Oregon,Cheddar,"semi-hard, artisan",,,,creamy and crumbly,natural,pale yellow,"savory, spicy",spicy,yes ,Rogue Creamery,,
Jarlsberg,pasteurized cow's milk,Norway,Jarlsberg,Swiss Cheese,semi-soft,,,,"open, smooth and supple",waxed,pale yellow,"buttery, mild, nutty",nutty, no ,Norseland Ltd.,,
Jermi Tortes,,Germany,,,,,,,,,,,, no ,,,
Jibneh Arabieh,cow's milk,Israel and Middle East,,,semi-hard,,,,firm and open,natural,white,mild,, no ,"M & J Sales, Outagamie county, United States",,
Jindi Brie,,,Jindivick,Brie,,,,,,bloomy,golden yellow,,, no ,,,
Jubilee Blue,cow's milk,New Zealand,,Blue,"soft, blue-veined",,,,creamy and smooth,mold ripened ,ivory,"buttery, spicy",mushroom, no ,,,
Julianna ,pasteurized goat's milk,United States,Indiana,Brie,"soft, soft-ripened",,,,"buttery, firm and smooth",natural,white,"buttery, nutty, smooth, tangy","herbal, mushroom", no ,Capriole Goat Cheese,,
Juustoleipa,"pasteurized cow's, goat's or reindeer's milk",Finland,,,"semi-hard, artisan",,12%,,chewy and firm,washed,white,"salty, sweet","fresh, pleasant, sweet", no ,Wisconsin Cheese,"Leipäjuusto, Finnish squeaky cheese, reindeer cheese, juusto",
Kabritt,pasteurized goat's milk,Canada,British Columbia,Tomme,"hard, artisan",,,,buttery,natural,ivory,"buttery, salty, tangy","earthy, rich", no ,The Farm House Natural Cheeses,,
Kadchgall,camel's or sheep's milk,Afghanistan and Pakistan,,,"hard, artisan",,,,springy,,pale yellow,,, no ,,,
Kaltbach Emmentaler AOP,pasteurized cow's milk,Switzerland,Lucerne,Swiss Cheese,"semi-hard, processed",,45%,1030 mg/100g,"crumbly, crystalline and open",,,"nutty, tangy",nutty,,Emmi Käse AG,,
Kanafeh,,"Azerbaijan, Egypt, Greece, Iran, Israel, Jordan, Lebanon, Palestine, Syria and Turkey",Levant,,,,,,,,,,, no ,,"Riştə Xətayi, kadaif","kunafah, knafeh, Kunafeh, knafeh, Kenafa, kunefe"
Kanterkaas ,pasteurized cow's milk,Holland and Netherlands,"Friesland, Westerkwartier",,"hard, artisan",,20-44%,,firm and open,natural,yellow,"spicy, strong, tangy","aromatic, pleasant",,,"Friese nagelkaas, nagelkaas, Kanter Cheese, Frisian clove cheese, Friese kaas, Kanterkomijnekaas , Kanternagelkaas ",
Kapiti Kikorangi,cow's milk,New Zealand,Manurewa,Blue,"semi-soft, blue-veined",,,,creamy and smooth,bloomy,straw,"buttery, full-flavored, savory",strong, no ,Fonterra Foodservices,Kikorangi,
Kashar,unpasteurized cow's milk,United States,Vermont,Pasta filata,"hard, artisan",,,,dry and firm,mold ripened ,ivory,"buttery, tangy","buttery, spicy", no ,Parish Hill Creamery,,
Kashkaval,unpasteurized cow's and sheep's milk,"Bulgaria, Lebanon, Macedonia, Romania, Serbia, Syria and Turkey",Eastern Europe,Pasta filata,semi-hard,,32%,,creamy,waxed,yellow,"nutty, salty",smokey, no ,,"kasseri, cascaval, kashkawan, Ksara","Kashkaval vitosha, Kashkaval balkan, Kashkaval preslav, Kaval"
Kashta,pasteurized or unpasteurized cow's milk,Middle East,,,"fresh soft, whey",,,,creamy,natural,white,"full-flavored, sweet","fresh, rich", no ,,,
Kasseri,unpasteurized goat's and sheep's milk,Greece,,Pasta filata,semi-hard,,25-45%,,"chewy, firm and springy",rindless,pale yellow,"salty, sweet",pungent, no ,CHRISTAKIS Greek Cheeses,,"Kasar, Kaser"
Keens Cheddar,unpasteurized cow's milk,England,South West England,Cheddar,"hard, artisan",,,,"creamy, firm and smooth",natural,pale yellow,"earthy, nutty, sharp, smooth, tangy","nutty, rich", no ,Keens Cheddar,,
Kefalotyri,pasteurized goat's or sheep's milk,"Cyprus, Greece and Turkey",,,hard,,40%,,firm and flaky,natural,pale yellow,"salty, sharp, spicy, strong, tangy","rich, strong", no ,CHRISTAKIS Greek Cheeses,,Kefalotiri
Kefir Blue,unpasteurized cow's milk,United States,NY,Blue,"semi-soft, blue-veined",,,,crumbly,waxed,pale yellow,"creamy, nutty, sharp, tangy",,,Finger Lakes Dexter Creamery LLC,,
Kefir Italian Pasta Cheese,unpasteurized cow's milk,United States,NY,,"hard, artisan",,,,crumbly and firm,natural,pale yellow,"pungent, tangy",pleasant,yes ,Finger Lakes Dexter Creamery LLC,,
Kefir Peppercorn Cheese,unpasteurized cow's milk,United States,NY,,"semi-hard, artisan",,,,"creamy, dense and firm",rindless,white,"spicy, tangy",pleasant,,Finger Lakes Dexter Creamery LLC,,
Kefir Salad,cow's milk,United States,NY,,"semi firm, artisan",,,,creamy and firm,rindless,pale yellow,"pungent, tangy",pleasant,,Finger Lakes Dexter Creamery LLC,,
Kefir Tomato-Garlic,unpasteurized cow's milk,United States,NY,,"semi-hard, artisan",,,,"creamy, dense and firm",rindless,cream,"garlicky, pungent, sweet, tangy",garlicky,,Finger Lakes Dexter Creamery LLC,,
Kefir Wine Companion,cow's milk,United States,NY,,"semi-hard, artisan",,,,crumbly and firm,waxed,pale yellow,"pungent, strong, tangy",pleasant,,Finger Lakes Dexter Creamery LLC,,
Keltic Gold,pasteurized cow's milk,England,North Cornwall,,"semi-hard, artisan",,,,creamy and smooth,washed,straw,"creamy, fruity",fruity,,Whalesborough Farm Foods,,
Kenne,pasteurized goat's milk,United States,"Tomales, California ",,"soft, artisan",,,,soft-ripened,natural,,"earthy, mild","earthy, mild",,Tomales Farmstead Creamery,,
Kennebec Highlands Caerphilly,pasteurized goat's milk,United States,Maine,,"semi-hard, artisan",,,,creamy and smooth,waxed,pale yellow,"nutty, salty, tangy","grassy, milky", no ,Kennebec Cheesery,,
Kernhem,pasteurized cow's milk,Holland and Netherlands,Kernhem,Gouda,soft,,60%,,"firm, open and smooth",washed,yellow,"mild, nutty, sweet",aromatic, no ,,,
Kervella Affine,unpasteurized goat's milk,Australia,Gidgegannup,,"soft, hard, artisan",,,,"creamy, firm and flaky",natural,white,"mild, nutty, salty, sweet",, no ,,,
King Island Cape Wickham Brie,cow's milk,Australia,,Brie,soft,,,,,,white,,, no ,King Island Dairy,,
King River Gold,pasteurized or unpasteurized cow's milk,Australia,"Milawa, Victoria",,"semi-soft, artisan",,,,creamy and smooth,washed,,"fruity, mild, smokey ",, no ,Milawa Cheese Company,,
Kinsman Ridge,unpasteurized cow's milk,United States,Vermont,Tomme,"semi-soft, artisan",,,,"creamy, firm and smooth",natural,pale yellow,"creamy, savory","buttery, floral, rich", no ,"Jasper Hill Farm, Landaff Creamery, LLC",,
Kiri,cow's milk,"France, Japan and Middle East",,,"soft, processed",,,,creamy,rindless,white,"creamy, mild, sweet",fresh,,BEL Group,,
Kirkham's Lancashire,unpasteurized cow's milk,"England, Great Britain and United Kingdom","Goosnargh, Lancashire",,"semi-soft, artisan",,,,"buttery, creamy, crumbly, fluffy and spreadable",natural,yellow,"creamy, lemony, savory, tangy",, no ,"Mrs Kirkhams, Neal's Yard Dairy",,
Klosterkaese,unpasteurized cow's milk,Germany,,Gouda,"hard, artisan",,30%,,,natural,pale yellow,sweet,fruity, no ,Imokilly Cheese Company,,Kloster Kaese
Knockdrinna Gold,pasteurized goat's milk,Ireland,Stoneyford,Tomme,"semi-hard, artisan",,,,"creamy, crumbly, open and semi firm",natural,white,"mild, nutty, spicy","goaty, pleasant",yes ,Knockdrinna Farmhouse Cheese,,
Knockdrinna Meadow,pasteurized sheep's milk,Ireland,Stoneyford,Tomme,"semi-hard, artisan",,,,open and semi firm,natural,white,"caramel, creamy, earthy, meaty, mild, nutty, sweet",,yes ,Knockdrinna Farmhouse Cheese,,
Kolan Extra Mature,pasteurized cow's milk,Croatia,Dalmatian hinterland,,hard,,,,brittle and dense,natural,yellow,"full-flavored, nutty",buttery,yes ,SIRANA GLIGORA D.O.O,,
Konig Ludwig Beercheese,unpasteurized cow's milk,Austria,Sulzberg,,"semi-hard, artisan",,50%,,creamy,natural,yellow,"full-flavored, smooth",aromatic,,Sulzberger Käserebellen Sennerei GmbH,König Ludwig Bierkäse,
Konig Ludwig King's,unpasteurized cow's milk,Austria,Sulzberg,,"semi-hard, artisan",,50%,,creamy and smooth,natural,golden yellow,mild,aromatic,,Sulzberger Käserebellen Sennerei GmbH,König Ludwig Königskäse,
Kris Lloyd - Artisan Blend,cow's or goat's milk,Australia,Woodside ,Feta,"fresh soft, artisan",,,,"creamy, crumbly, firm and springy",rindless,white,"herbaceous, mild, milky, spicy","aromatic, herbal, mild, milky",yes ,Woodside Cheese Wrights,"Kris Lloyd - Artisan - Goat, Kris Lloyd - Artisan - Cow, Persian style feta",
Kugelkase,cow's milk,Austria,Danube ,,soft,,40%,,creamy,,,spicy,, no ,,,
Kummin,pasteurized cow's milk,Sweden,Oviken ,,"hard, artisan",,17%,,,natural,yellow,"acidic, full-flavored, sharp, spicy",spicy,,Oviken cheese,,
Käse Mit Schweizer Trüffeln,unpasteurized cow's milk,Switzerland,Bern,Swiss Cheese,"semi-soft, artisan",,,,creamy,natural,cream,creamy,"earthy, mild",,Affineur Walo of Mühlenen,Swiss cheese with truffles,
L'Amuse Brabander Goat Gouda,pasteurized cow's milk,Netherlands,Northern Holland,Gouda,hard,,,,smooth,waxed,brownish yellow,"caramel, salty","buttery, nutty",,,,
L'Amuse Signature Gouda,pasteurized cow's milk,Netherlands,,,"hard, artisan",,,,"crumbly, crystalline and smooth",waxed,orange,"burnt caramel, caramel, full-flavored, salty",nutty,,L'AMUSE,,
L'Aveyronnais,cow's milk,France,massif des Causses,,soft,,,,,leaf wrapped,white,,grassy, no ,,,
L'Ecir de l'Aubrac,unpasteurized cow's milk,France,Auvergne,,"soft, artisan",,,,smooth,natural,white,sweet,pleasant, no ,,,
L'Empereur,,Canada,Quebec,,"soft, artisan",,15%,,creamy and supple,washed,cream,"buttery, salty","fruity, milky, nutty",,Fromagerie Fritz Kaiser,"L’Empereur Léger, Empereur allégé",
L'Étoile de St-Raymond,,Canada,Quebec,,soft,,35%,,buttery and creamy,ash coated,ivory,"buttery, grassy, milky",mushroom,,La Maison Alexis de Portneuf Inc.,,L’Étoile De Saint-Raymond
La Bonaparte,pasteurized cow's milk,Canada,Quebec,Brie,"soft, soft-ripened",,28%,,"creamy, soft, soft-ripened and supple",bloomy,cream,"creamy, mild, milky","fresh, mild",,La Maison Alexis de Portneuf Inc.,,
La Casatella,pasteurized cow's milk,Italy,Veneto,,"fresh soft, artisan",,,,compact and soft,natural,white,"subtle, sweet",lactic, no ,La Casearia Carpenedo S.r.l.,,
La Couronne - Fort Aged Comté,unpasteurized cow's milk,France and Switzerland,Franche Comté ,,semi-hard,,,,dense,,pale yellow,"caramel, nutty, sweet",rich,,Cheese Slices,,
La Fleurie,pasteurized cow's milk,United States,Vermont,,"soft, artisan, soft-ripened",,,,"buttery, runny and smooth",mold ripened ,ivory,"buttery, earthy, mushroomy, nutty","earthy, mild",yes ,Willow Hill Farm,,
La Peral,pasteurized cow's and sheep's milk,Spain,Asturias,Blue,"semi-soft, blue-veined",,,,"creamy, firm and grainy",natural,pale yellow,"buttery, caramel, mushroomy, smooth, spicy, sweet","buttery, rich", no ,Quesería La Peral,La Peral Blue,
La Pyramide,pasteurized goat's milk,Canada,British Columbia,,"semi-soft, artisan",,,,dense,ash coated,ivory,"salty, tangy",mild, no ,The Farm House Natural Cheeses,,
La Rumeur,pasteurized cow's milk,Canada,Quebec,Brie,"soft, soft-ripened",,,,"buttery, creamy, runny and supple",bloomy,cream,"creamy, mild","mild, milky",,La Maison Alexis de Portneuf Inc.,,
La Sauvagine,pasteurized cow's milk,Canada,Quebec,,soft,,32%,,"buttery, creamy, runny and supple",washed,ivory,"buttery, creamy",mushroom,yes ,La Maison Alexis de Portneuf Inc.,,
La Sauvagine Réserve,pasteurized cow's milk,Canada,Quebec,,soft,,38%,,"buttery, creamy, runny and supple",washed,ivory,"buttery, creamy, mild, milky",mushroom,yes ,La Maison Alexis de Portneuf Inc.,,
La Serena,unpasteurized sheep's milk,Spain,Extremadura,,soft,,50%,,creamy and spreadable,washed,straw,"bitter, full-flavored, sharp, strong","pleasant, strong",yes ,,,"Torta de la Serena, Queso de la Serena, Torta La Serena"
La Taupiniere,unpasteurized goat's milk,France,Poitou-Charentes,,"soft, artisan",,45%,,creamy and smooth,natural,white,"sour, tangy","aromatic, nutty", no ,Fromagerie Jousseaume,Taupinette,Taupiniere
La Tur,"pasteurized cow's, goat's and sheep's milk",Italy,Alba,Brie,"soft, artisan, soft-ripened",,,,"creamy, fluffy and soft-ripened",mold ripened ,straw,"acidic, buttery, creamy, grassy, mushroomy","earthy, lactic, yeasty", no ,Caseificio dell'Alta Langa,,
La Vache Qui Rit,pasteurized cow's milk,France,,Swiss Cheese,"semi-soft, processed",,,,"creamy, smooth and spreadable",rindless,pale yellow,"buttery, mild, spicy, tangy",fresh,,The Laughing Cow,The Laughing Cow,
Labneh,pasteurized cow's milk,Middle East and United States,,,"soft, whey",,5%,,creamy,rindless,white,"creamy, milky, salty","fresh, mild", no ,Karoun Dairies Inc.,"lebnah , labaneh",labne
Lacey Grey,pasteurized goat's milk,Canada,"Prince Edward County, Ontario",,"soft, artisan, soft-ripened",,,,creamy and soft,bloomy,white,"acidic, bitter, nutty","clean, herbal",,Fifth Town Artisan Cheese,,
LaClare Farms Chandoka,pasteurized cow's and goat's milk,United States,,Cheddar,"semi firm, artisan",,,,creamy,,ivory,"fruity, tangy",fruity,yes ,LaClare Farms,,
LaClare Farms Cheddar,pasteurized goat's milk,United States,Wisconsin,Cheddar,"semi-soft, artisan",,,,creamy,,ivory,"mild, sweet, tangy","fruity, sweet",yes ,LaClare Farms,,
LaClare Farms Chevre,pasteurized goat's milk,United States,Wisconsin,Cottage,fresh soft,,,,creamy,rindless,white,"mild, sweet",fresh,yes ,LaClare Farms,,
LaClare Farms Evalon,pasteurized goat's milk,United States,Wisconsin,Gouda,"semi-hard, artisan",,,,creamy,natural,ivory,mild,goaty,yes ,LaClare Farms,,
LaClare Farms Evalon with Cummin,pasteurized goat's milk,United States,Wisconsin,Gouda,"semi-hard, artisan",,,,creamy,natural,ivory,savory,goaty,yes ,LaClare Farms,Cummin Evalon,
LaClare Farms Evalon with Fenugreek,pasteurized goat's milk,United States,Wisconsin,Gouda,"semi-hard, artisan",,,,creamy,natural,pale yellow,mild,goaty,yes ,LaClare Farms,Fenugreek Evalon,
LaClare Farms Fondry Jack,pasteurized goat's milk,United States,Wisconsin,Monterey Jack,"fresh soft, artisan",,,,creamy,natural,ivory,mild,fresh,,LaClare Farms,,"Tomato Basil Fondy Jack, Pepper Jack Fondy Jack"
LaClare Farms Martone,pasteurized goat's milk,United States,Wisconsin,Cottage,semi-soft,,,,creamy,ash coated,white,"sweet, tangy","buttery, fresh",yes ,LaClare Farms,,
LaClare Farms Raw Goats Milk Cheddar,unpasteurized goat's milk,United States,Wisconsin,Cheddar,"semi-soft, artisan",,,,creamy,,ivory,"mild, sweet, tangy","fruity, sweet",yes ,LaClare Farms,,
LaClare Ziege Zacke Blue,pasteurized cow's and goat's milk,United States,Wisconsin,Blue,"semi-hard, blue-veined",,,,creamy and firm,natural,cream,"creamy, spicy, sweet, tangy","earthy, rich", no ,LaClare Farms,Ziege Zacke Blue,
Lacy Swiss,pasteurized cow's milk,United States,,Swiss Cheese,"semi firm, processed",,,,"creamy, open and supple",,ivory,"mild, nutty",mild,,"Finlandia, Land O'Lakes, Inc. - Alpine Lace",,Lacey Swiss
Lady Jane,pasteurized cow's milk,Canada,British Columbia,Brie,"semi-soft, artisan, soft-ripened",,,,"creamy, dense and soft-ripened",mold ripened ,pale yellow,tangy,"earthy, mushroom", no ,The Farm House Natural Cheeses,,
Laguiole,unpasteurized cow's milk,France,"Aveyron, Laguiole",,"semi-hard, artisan",,,,"creamy, firm and supple",natural,straw,"sharp, sour, tangy",aromatic, no ,,,Tome de Laguiole
Lairobell,unpasteurized goat's milk,Scotland and United Kingdom,Orkney Isles,,"hard, artisan",,,,crumbly and open,natural,pale yellow,"herbaceous, sweet",goaty,yes ,,,
Lajta,pasteurized cow's milk,Hungary,,,soft,,50%,,creamy and open,washed,yellow,piquant,"aromatic, stinky, strong", no ,,,
Lake District Extra Mature Cheddar,cow's milk,United Kingdom,Cumbrian ,Cheddar,"semi-soft, artisan",,,,creamy,,pale yellow,sweet,rich,yes ,The Lake District Cheese Company,,
Lake District Mature Cheddar,pasteurized or unpasteurized cow's milk,United Kingdom,Cumbrian ,Cheddar,"soft, artisan",,,,crumbly and dense,,pale yellow,"savory, sweet",fresh,yes ,The Lake District Cheese Company,,
Lamb Chopper,pasteurized sheep's milk,Netherlands and United States,California,Gouda,hard,,,,"dense, firm and smooth",waxed,ivory,"buttery, caramel, creamy, nutty, sweet","mild, sweet",yes ,Cypress Grove Chevre,,
Lanark Blue,unpasteurized sheep's milk,Scotland,,Swiss Cheese,"semi-soft, artisan, blue-veined",,,,creamy,natural,yellow,salty,strong, no ,,,
Landaff,unpasteurized cow's milk,United States,New Hampshire,,"semi-hard, artisan",,,,"creamy, firm and open",natural,straw,"mild, tangy",aromatic,,"Jasper Hill Farm, Landaff Creamery, LLC",,
Langres,pasteurized cow's milk,France,Champagne-Ardenne,,semi-soft,,,,crumbly and firm,washed,orange,"mild, salty",strong, no ,Rians,Tesco Finest Langres 180g,
Lappi,pasteurized cow's milk,Finland,Lapland,Swiss Cheese,semi-soft,,,,"creamy, firm, open and smooth",rindless,yellow,"mild, sweet",, no ,,,
Largo,pasteurized cow's milk,United States,California,,"soft, artisan",,,,creamy and smooth,bloomy,pale yellow,"mushroomy, nutty, sweet","pleasant, sweet",,Andante Dairy ,,
Laruns,unpasteurized sheep's milk,France,Laruns,,"soft, artisan",,,,"brittle, firm and supple",natural,straw,"acidic, mild, nutty, salty, sweet",mild, no ,,,
Latteria Navel,pasteurized cow's milk,Italy, Friuli-Venezia Giulia and the Veneto,,"hard, soft-ripened",,,,brittle,natural,straw,full-flavored,aromatic,,,,
Latteria San Biagio,pasteurized cow's milk,Italy,Veneto,,"soft, artisan",,,,creamy,natural,white,"acidic, sweet",subtle, no ,La Casearia Carpenedo S.r.l.,,
Laura Chenel Taupiniere,goat's milk,United States,"Carneros, Sonoma, California",,"soft, artisan",,,,creamy and soft,ash coated,white,"creamy, tart","aromatic, fresh",,Laura Chenel's Chevre,,
Laura Chenel Tome,pasteurized goat's milk,United States,"Sonoma, California",Cheddar,"firm, artisan",,,,"crumbly, dense and firm",cloth wrapped,ivory,"caramel, savory","rich, sweet",yes ,Laura Chenel's Chevre,,
Laura Chenel's Cabecou ,pasteurized goat's milk,United States,California,,fresh firm,,,,"creamy, dense and smooth",rindless,cream,"creamy, mild, nutty","mild, nutty, rich",,Laura Chenel's Chevre,,
Lavistown,pasteurized cow's milk,Ireland,Stoneyford,,"semi-hard, artisan",,,,"crumbly, dry and firm",natural,yellow,"creamy, mild, milky, tangy, vegetal",,yes ,Knockdrinna Farmhouse Cheese,,
Le Brebiou,pasteurized sheep's milk,France,Pyrénées-Atlantiques,Brie,"semi-soft, artisan, soft-ripened",,26%,,"creamy, firm and smooth",bloomy,white,"mild, milky, sweet",musty, no ,Bongrain,Brebiou sheep cheese,Brebiou ligne et plaisir
Le Brin,pasteurized cow's milk,France,Rhone-Alps,,"semi-soft, artisan",,40%,,creamy and spreadable,washed,white,"buttery, sweet","aromatic, nutty, yeasty",yes ,Fromagerie GUILLOTEAU,,
Le Cendrillon,pasteurized goat's milk,Canada,Quebec,,soft,,25%,,creamy and smooth,ash coated,ivory,"acidic, pronounced, sour",goaty,,La Maison Alexis de Portneuf Inc.,,
Le Chevrot,unpasteurized goat's milk,France,Loire Valley,,soft,,50%,,"creamy, dense and firm",mold ripened ,cream,"herbaceous, nutty, strong","goaty, strong", no ,SEVRE & BELLE,,
Le Conquerant Camembert,pasteurized cow's milk,France,"Pays d’Auge, Normandy ",Camembert,"soft, artisan",,,,soft-ripened,waxed,white,"fruity, yeasty",rich, no ,,,
Le Conquerant Demi Pont L'eveque ,cow's milk,Australia and France,,,"soft, artisan",,,,"chalky, creamy and soft",washed,,"creamy, mild",pungent,,"Fromagerie Graindorge, Will Studd Enterprizes Pty Ltd",,
Le Double Joie,pasteurized cow's and goat's milk,Canada,Quebec,Brie,"soft, soft-ripened",,27%,,"buttery, creamy and runny",bloomy,cream,"buttery, creamy",mushroom,,La Maison Alexis de Portneuf Inc.,,
Le Duc Vacherin,pasteurized cow's milk,France,Franche Comté ,,"soft, soft-ripened",,,,smooth and soft,washed,ivory,"buttery, creamy, lemony, mild","rich, woody",,Fromagerie Jean Perrin,,
Le Fium Orbo,goat's or sheep's milk,France,,,soft,,50%,,soft-ripened,natural,,,, no ,,,
Le Gruyère AOP,cow's milk,Switzerland,,,hard,,49-53%,,compact,,,,, no ,"Switzerland in Fribourg, Vaud, Jura, Neuchâtel and part of the canton of Bern",,
Le Lacandou,unpasteurized sheep's milk,France,Aveyron,,"soft, artisan",,45%,,creamy,natural,pale yellow,fruity,grassy, no ,,,
Le Marquis Chevre,goat's milk,France,Rhone Valley ,Cheddar,"soft, artisan",,,,soft,natural,ivory,"lemony, tangy",mild,,Cheese Slices,,
Le Moutier,pasteurized goat's milk,Canada,Québec,,fresh firm,,,,firm,natural,white,sweet,,,Fromagerie de l'Abbaye Saint-Benoît ,,
Le Reflet de Portneuf ,,Canada,Quebec,,soft,,30%,,buttery and creamy,washed,cream,"buttery, creamy, mushroomy",,,La Maison Alexis de Portneuf Inc.,,
Le Roule,pasteurized cow's milk,France,Rians,,"fresh soft, artisan",,,,"creamy, smooth and spreadable",natural,white,"spicy, sweet, tangy",rich, no ,Laiteries Hubert Triballat SA,,
Le St-Raymond ,,Canada,Quebec,,soft,,20%,,smooth and supple,washed,ivory,"fruity, nutty, woody",,,La Maison Alexis de Portneuf Inc.,,Le Saint-Raymond
Le Wavreumont,unpasteurized cow's milk,Belgium,Wallonia,,"semi-soft, artisan",,,,"buttery, creamy, semi firm, smooth and soft",washed,pale yellow,"buttery, creamy, nutty, smooth, strong","buttery, fresh, grassy",,Fromagerie des Ardennes sprl,,
Leafield,sheep's milk,Great Britain,Oxfordshire,Brie,"hard, artisan",,48%,,chewy,natural,pale yellow,fruity,fruity,yes ,,,
Lebbene,pasteurized goat's or sheep's milk,Israel,,,soft,,45%,,,natural,white,mild,mild,,,Gibne,"Lebney, Labaneh"
Leerdammer,pasteurized cow's milk,Holland and Netherlands,"Schoonrewoerd, Leerdam ",Gouda,semi-hard,,,,"creamy, open, smooth and springy",natural,white,"mild, nutty, sweet",, no ,Bel UK,,
Legacy,pasteurized cow's milk,United States,Missouri,Gouda,"semi-hard, artisan",,,,creamy,rindless,pale yellow,creamy,aromatic,yes ,Heartland Creamery,,
Legato,pasteurized cow's milk,United States,California,Camembert,"soft, soft-ripened",,,,creamy and soft-ripened,mold ripened ,pale yellow,full-flavored,strong,yes ,Andante Dairy ,,
Lemon Fetish,pasteurized sheep's milk,Canada,"Prince Edward County, Ontario",Feta,"fresh firm, artisan",,,,crumbly and dry,natural,white,"citrusy, lemony, salty, tangy","clean, lactic",,Fifth Town Artisan Cheese,,
Lemon Myrtle Chevre,pasteurized goat's milk,Australia,South Australia,,"fresh firm, artisan",,45%,,"creamy, firm and smooth",rindless,white,"acidic, herbaceous","fresh, herbal",yes ,Woodside Cheese Wrights,,
Leonora,pasteurized goat's milk,Spain,Leon,,"semi-soft, artisan",,,,dense and smooth,bloomy,white,"creamy, milky, tangy","lactic, pleasant", no ,,,
Les Calendos ,pasteurized cow's milk,Canada,Quebec,Camembert,"soft, soft-ripened",,,,"creamy, smooth and supple",bloomy,cream,"creamy, full-flavored",,,La Maison Alexis de Portneuf Inc.,,
Leyden,pasteurized cow's milk,Holland and Netherlands,Leiden,Gouda,"hard, artisan",,30-40%,,firm,waxed,yellow,"buttery, spicy, tangy",aromatic, no ,,"Leidse Kaas, cumin cheese, Boeren-Leidse, Boeren-Leidse kaas, Farmers Leiden",
Liburnski Sir,"pasteurized cow's, goat's and sheep's milk",Croatia,old Liburnia (Dalmatia),,"hard, artisan",,,,creamy and open,natural,golden yellow,"creamy, earthy, nutty, tart","buttery, clean, goaty, mild",yes ,SIRANA GLIGORA D.O.O,,
Lil Moo,pasteurized cow's milk,United States,Georgia,,soft,,,,"creamy, dense and spreadable",rindless,pale yellow,"creamy, smooth, sweet","fresh, grassy",,Sweet Grass Dairy,,
Liliputas,pasteurized cow's milk,Lithuania,Belvederis,,semi-hard,,50%,,elastic and firm,waxed,yellow,milky,"fresh, lactic",,,,
Limburger,pasteurized cow's milk,"Belgium, Germany and Netherlands",Duchy of Limburg,,"semi-soft, smear-ripened",42%,27 g/100g,497 mg/100g,"creamy, crumbly, firm and smooth",washed,straw,"grassy, mild, mushroomy",stinky, no ,,,Limburger Kase
Lincoln Log,pasteurized goat's milk,United States,"Ann Arbor, MI ",,"semi-soft, soft-ripened",,,,creamy and dense,mold ripened ,white,"citrusy, lemony, mild, mushroomy, tangy","goaty, milky", no ,Zingerman's Creamery,,
Lincolnshire Poacher,unpasteurized cow's milk,England and United Kingdom,Lincolnshire,Cheddar,hard,,45%,,open and smooth,natural,yellow,"fruity, nutty, savory, sweet",grassy, no ,,,
Lindale,pasteurized cow's milk,United States,North Carolina,Gouda,"semi-soft, artisan",,,,creamy and smooth,natural,pale yellow,"buttery, sweet",rich, no ,Goat Lady Dairy,,
