Name,Producer,Country,Region,Size,Weight,Website,Milk,Treatment,Classification,Rennet,Rind,Style,Flavor,Description
Sumi,Goat's Leap,United States,California,"4 ins sq base, 2 ins sq top, 3-4 ins high",8-10oz, www.goatsleap.com,Goat,,Semi Soft,Animal,Mold Ripened,,,"Located on the western slopes of the Napa Valley in California, Goat`s Leap Cheese is owned by Barbara and Rex Backus, who moved there from Los Angeles in the 1970`s.Goat`s Leap has built a deserved reputation for very high quality cheese from their small production and their herd of LaMancha goats. Over the years, they have developed excellent dairy and milking genetics in the herd, which have greatly helped other American LaMancha dairies improve their stock.Goat`s Leap is a seasonal dairy. Cheesemaking normally commences in April and lasts until late October or early November. The cheeses that Barbara makes also reflect the seasons. Every day, weather permitting, the goats are taken out onto the hillside above the house to browse the native California shrubs and bushes.Barbara makes a variety of predominently younger, mold ripened cheeses in the tiny cheese room, just up the hill from the house.What sets Barbara`s cheeses apart is not just the flavor but their texture. Starting with very high quality milk, Barbara handles the curd for her cheeses with great dexterity that results in some of the finest, silkiest textures of any American cheeses on the market.Sumi is named for one of Barbara`s black LaMancha does - hence the ash coating on this cheese. Sumi has a wonderfully silky, fine texture and light, delicate citrus flavor. The cheese has a long, rich and balanced finish of hay, grass and St. Helena flora.Inside, the cheese is firm and tangy with a long, rich, finish that develops after only two to six weeks of aging."
Summer Snow,Woodcock Farm,United States,Vermont ,"5-6 ins diameter, 2-3 ins high",8 oz,,Sheep,,Soft,Microbial,Mold Ripened,,,"Woodcock Farm is located near Weston in the Green Mountain region of Vermont. Here, Mark and Gari Fischer run a flock of East Friesian dairy sheep that graze across the farm`s 45 acres.Milk from the sheep goes into the production of a their award winning cheeses. They also buy in high quality cow`s milk from their neighbors at Taylor Farm, which has allowed them to expand their range of cheeses. They now produce some cheeses made entirely from cow`s milk, as well as some made with a blend of the two milk types. Their cheeses include Timberdoodle, Weston Tomme, Cloud 9 and Summer Snow.Summer Snow is produced during the summer months and is a lusciously soft, mold ripened cheese made from pasteurized sheep`s milk.Cheeses are aged for a few weeks and characteristically become extremely runny just under the rind, sometimes making them a bit hard to handle for a cheeseboard, but excellent for salads or cooking!"
Summertomme,Willow Hill Farm,United States,Vermont ,"5-6 ins diameter, 2-3 ins high",8-9 oz, www.sheepcheese.com,Sheep,,Semi Soft,Vegetable,FlavoredMold Ripened,,,"Summertomme is produced at Willow Hill Farm, a 500 acre, diversified and vertically integrated farm located at an elevation of 1,200ft., near the foothills of the Green Mountains in Vermont.The farm is owned and run by by Willow Smart and her husband David Phinney. Willow comes from a tenth generation family of Hawaiian cattle ranchers and farmers, and she apprenticed at Vermont Shepherd with Cindy and David Major before starting up on her own operation.In addition to raising East Friesian dairy sheep, Dutch Belt and Brown Swiss cows for milk, cheese and yoghurt, Willow also sells lambs and organic blueberries produced on the farm.All cheeses are made from Willow Hill`s own milk and aged in their caves on the property.Summertomme is made to Willow`s own recipe and is a herb encrusted round with a semi soft and slightly `open` texture.Flavors are fresh and floral with a rich, earthy tang and a slightly sweet finish."
Supreme,Marin French Cheese,United States,California,12.75 in diameter x 4 in height,,www.marinfrenchcheese.com,Cow,Pasteurised,Semi Soft,Microbial,Mold Ripened,Soft-Ripened (Brie-like),,"Located just west of Petaluma in northern California, the Marin French Cheese Company was founded in 1865 by Jefferson A. Thompson, largely as a response to the burgeoning demand for cheese arising from returning Gold Rush miners. Today it’s the oldest continuously operating creamery in the United States. Milk for cheese production originally came from the company`s own herds of cattle that grazed the 700 acres of land surrounding the creamery. However, during the Depression of the 1930`s, Marin French decided to focus its efforts entirely on production and try to support its neighbors by buying in milk from local farms. This arrangement continues today. Supreme was inspired by creamy French classic Délice de Bourgogne.It’s produced in a small-batch bucket method with gentle stirring and cutting to achieve a rich consistency. Wheels are aged for 9-14 days, developing a bloomy rind.Milkier and with a subtler taste than the Petite version, Supreme has a semi-soft and slightly crumbly paste that turns smooth and creamy on the palate. Flavor starts out rich and buttery, yielding a slight kick of saltiness and a lingering, pleasant aftertaste.Serve Supreme alongside Prosecco or with sweet-tart tomato jam, paté and walnuts."
Surchoix,Roth Käse,United States,Wisconsin,"14 ins diameter, 5 ins high",12 lbs,www.rothkase.com,Cow,,Firm,Microbial,Natural,,,"The Roth family cheesemaking venture began in 1863 in Uster, Switzerland, then a small town just outside Zurich. By the end of the century a decision was made to bring the family`s knowledge and appreciation of European cheeses to America. By the early 1900`s, Otto Roth, son of the founder, had established a successful business that soon became one of the largest importers of European specialty cheeses in North America and that laid the foundation for what today forms Roth Käse USA. In 1991, convinced there was a future for making great cheeses in America, Fermo Jaeckle, a former executive with Otto Roth & Co., joined with his cousins, Felix and Ulrich Roth, to further extend their European/Swiss roots and cheesemaking expertise into the rolling hills of Green County, Wisconsin. Known locally as Little Switzerland for its source of high quality milk, this area in the heart of Wisconsin is particularly well-suited for cheesemaking. It is here that Roth Käse USA was established, initially with a view towards making Alpine-style cheeses. Surchoix is a raw cow`s milk cheese made in the Alpine style and aged approximately ten months. It is full bodied and rich in flavor. The ivory-colored paste is firm and creamy, with aromas hinting of cocoa, sweet roasted nuts and pungent swiss. The paste is fruity and buttery, and can only be described as deliciously rich. Great for cooking, cheese plates, and pairing with rich, bold, California wines."
Swaledale (Ewe),The Swaledale Cheese Company,United Kingdom,North Yorkshire,"4 ins diameter, 6 ins high or 8 ins diameter, 6 ins high",2.5 lbs & 5-6 lbs,www.swaledalecheese.co.uk,Sheep,,Firm,Vegetable,Cloth Wrapped,,,"This version, made by the Reed family of the Swaledale Cheese Company in Richmond, North Yorkshire, resurrects the original Swaledale thought to have been introduced to the Yorkshire Dales in the 11th century. Named after the Dale (valley) where it was produced, the first Swaledale cheeses were made with the milk of Swaledale sheep or goats milk and it was not until the 17th Century when dairy cows were introduced into the Dales that the cheese started to be made with cow’s milk. Like most cheeses from this region, Swaledale was primarily produced on the farm with a view to home consumption, with perhaps a few excess wheels being traded or bartered locally with grocers and corn merchants in exchange for staples such as food and flour. By 1900, numerous creameries had been established in the area together with an effective system for collecting milk from the farms. This streamlining meant that suddenly Swaledale was being made in large quantities resulting in the subsequent decline of on-farm cheese production. This factor, combined with many years of adverse agricultural policy and the effects of two World Wars meant that the original farmhouse version of Swaledale was well on its way to extinction. By 1980 the only producer left making traditional Swaledale was Mr & Mrs Longstaff of Harkerside above Reeth in Swaledale. The recipe was shrouded in mystery and had been handed down Mrs Longstaff’s family for generations. In the early 1980’s, Mr Longstaff died and Mrs Longstaff decided to sell her smallholding, simultaneously retiring from cheese making. Effectively Swaledale cheese became extinct. However, in November 1986 Mrs Longstaff gave the original recipe to David & Mandy Reed and, acting as chief taster, she helped them to re-establish an authentic Swaledale cheese. The following year, David & Mandy set up The Swaledale Cheese Company and since then business has grown year on year. The company now produces approximately 1.75 tonnes of Swaledale per week. In 1995, Swaledale cheese (both the ewe`s and cow`s milk versions) were awarded name protected PDO status. In keeping with 19th century production practice, no salt is added to the curds. Instead, after unmolding the cheese is brined and allowed to mature for between six to eight weeks. During this time, mold has grown to form a natural rind and the cheese has a gentle, open texture and mild lactic flavor."
Sweet & Nutty Inglewhite,Butler's Farmhouse Cheeses,United Kingdom,Lancashire ,12.5 in diameter x 4.5 in height,30 lb,www.butlerscheeses.co.uk,Goat,,Firm,Vegetable,None,,,"Butler’s Farmhouse Cheese is owned and operated by three generations of the Butler Family. Cheeses are produced at a creamery in Inglewhite village in Lancashire, and the cow and goat milk used in production is sourced from several farms adjacent to the creamery.The goat’s milk used in the production of Inglewhite Sweet & Nutty is delivered fresh to the creamery each day from Throstle Nest Goats Farm, located a few miles down the road and managed by Nicola Butler. Nicola farms the family’s herd of 1,000 goats, breeding and raising them from birth.Cheesemaker Tim Fisher is responsible for the production of Sweet & Nutty Inglewhite, and at an age of 4-6 months, cheese grader Bill Yates selects only the best batches to sell.Snow-white and firm, with a sweet, rich and nutty taste, Sweet & Nutty Inglewhite is great for slicing, grating or melting, and it glows on a cheese plate. Pair it with figs and a dessert wine. "
Sweet Vanilla Cardona,Carr Valley Cheese Co,United States,Wisconsin,"8 ins diameter, 3 ins high",10 lbs,www.carrvalleycheese.com,Goat,,Semi Soft,Vegetable,Waxed,,,"Located in the rolling hills of central Wisconsin, Carr Valley Cheese remains one of Wisconsin`s most traditional cheese plants, famous for its Wisconsin cheddar varieties, as well as a host of more modern cheeses. Now owned and operated by Sid Cook, Carr Valley was founded in 1902, but the Cook family has been making cheese since 1883. Sid is a fourth generation cheesemaker. The first cheese plant that his father operated was in Irish Valley, where Sid worked with his father for several years before taking over the business in the mid 70`s. During this time Sid also learned how to make his own cultures from his father and grandfather. He and his brother made Wisconsin-style cheddar at that location for ten years, and Sid eventually purchased Carr Valley in 1986 and another cheesemaking facility in 1991, with a layout that would allow for more flexibility and the development of more styles of cheese. Carr Valley now sources cow`s milk from 40 farms, all located within 20 miles of the plant, and each milking no more than 70 cows. Sheep`s milk comes largely from one dairy and goat`s milk from a group of eight farms in the Green Bay area. Carr Valley makes over 65 different cheeses. Made from 100% goat’s milk with added vanilla, Sweet Vanilla Cardona is a firm, dense cheese that is bone white in color with tiny specks of vanilla throughout the paste.Made in ten pound wheels, finished cheeses are rubbed with a blend of vanilla sugar and vanilla bean.Flavors are distinctly sweet and vanilla like, with lactic notes in the background. Good wine pairings include Ice Wine, Shiraz and Pinot Noir."
Taleggio,Various,Italy,Lombardy,"10 ins square, 2 ins high",4-5 lbs,,Cow,PasteurisedRaw,Semi Soft,Animal,Washed,Washed-Rind,,"The ultimate Italian washed-rind, Taleggio has inspired gooey, orange-hued imitations aplenty since its invention somewhere around the ninth century. But you can only find makers of the original in regions surrounding the Val Taleggio, the cheese`s eponymous valley in mountainous Northern Italy. Taleggio was originally made only during certain months of the year, as a way to utilize excess milk as the cows made their seasonal trip to and from summer mountain pastures. While high-mountain cheeses tended to be large and firm, Taleggio was produced at lower points on the migration trail,where the temperature is slightly warmer (72 to 77°F) and the air is far more humid (90%)—much more conducive to the growth of mold on the rind. At that point the cows, sufficiently tired from their seasonal hike, would produce milk with a much higher butterfat content than that from cattle resting at pasture. While nowadays the cheese is mass-produced year-round with cows that don’t migrate, rustic artisanal cheesemakers will still follow the old method to a tee. To make the cheese, whole cow’s milk is heated to between 86 and 97°F, and animal rennet is added as a coagulant. Alternatively, some makers will introduce milk that’s already fermented, an ancient process that can be repeated almost indefinitely and save one from ever having to buy new starter cultures. After 15to 20minutes, the curds are cut, and then cut again after another ten minutes of rest. Whey is drained over a metal table, on which the curds are molded into their signature squares. Salt is applied both by hand and by way of a brine; then,the squares are transferred over to wooden shelves for aging. The cheese is turned at regular intervals for the first eighteen hours, allowing the salt to distribute and drying the rind. For the next forty days, the entire aging process, makers will regularly scrub the rind with a salt solution to spreadgood bacteria, scrub off excess,and prevent mold overgrowth, since too much can make the cheese bitter and disgusting. This is what revealsthe cheese’s characteristic terracotta hue, as the rind is mainly composed of cannibal bacteria feeding off of their predecessors, flavoring the paste, and giving Taleggio its distinctive pungent aroma.Despite the strongly aromatic washed rind, flavors are mild and buttery when young, developing a fuller, tangier flavor with prolonged maturing.The body of the cheese is soft, with only a few eyes (holes), and is a pale, straw-white color that becomes darker under the rind as the cheese matures.For the purest taste of Taleggio’s gustatory mosaic,try spreading some of the paste on a hunk of rustic bread; the rich, meaty primary flavor creates a super-savory pairing, making the subdued fruitiness of the cheese far more noticeable, but also far less intense. Inversely, if you pair Taleggio with sweet grapes, currants,pignoli(pine nuts), or a sweet wine like a red ItalianNebbiolo, the cheese becomes super-sweet, great for dessert or an early-morning breakfast."
Tallgrass,Landmark Creamery,United States,Wisconsin,12 in diameter x 5 in height,9-12 lbs,www.landmarkcreamery.com,Cow,Pasteurised,Firm,Animal,Flavor Added,Alpine-style,Flavor added to rind,"Landmark Creamery is run by a pair of Annas: Anna Landmark and Anna Thomas Bates. “This either makes things very confusing, or very simple,” they say. After meeting at a potluck for Green Country Women in Sustainable Agriculture in 2012, Landmark (who had a small sheep and goat farm) and Thomas Bates (a food writer) decided to form a partnership. Landmark is in charge of cheesemaking, while Thomas-Bates is in charge of sales. The Annas currently partner with two dairies to source milk, using space rented at Clock Shadow Creamery to produce their cheese. Sheep’s milk is sourced from Sam and Abe Enloe, a team of brothers in Rewey, Wisconsin. Pasture-grazed cow’s milk is sourced from Bert Paris in Belleville, Wisconsin. Tallgrass was originally inspired by Spanish Hispanico (a cow’s milk version of Manchego), but according to Anna Thomas Bates, “the sweet, golden pasture-grazed cow`s milk we used let [the cheese] take on a character of its own.” Aged for three to six months, the wheels are rubbed repeatedly with olive oil and smoked paprika.When ready for sale, Tallgrass is creamy with notes of salted butter and a cave-aged finish.The Annas suggest serving this cheese alongside honey, preserves, quince and cured meat. Pair it with a fruity Beaujolais or with a wheat beer."
Tanasi Tomme,Bonnie Blue Farm,United States,Tennessee,"6” in diameter, 2.25” high",5 lbs,www.bonniebluefarm.com/,Goat,,Firm,Microbial,Natural,,,"Tanasi Tomme, a three time ACS award-winning cheese, is the result of the work of Jim and Gayle Tanner of Bonnie Blue Farm. In 2006, several years after moving from Northern California to Tennessee for retirement, the Tanners began a goat dairy, naming it after the original battle flag of the Civil War in honor of its close proximity to the Shiloh battlefield. The Tanners had been enthusiastic goat herders for years, but when they met a dairy farmer who had been born on their new Tennessee property, Gayle thought it providential. Their original herd of 11 goats expanded to 80 and an old barn was reborn as a cheese studio. Jim, a former contractor, built aging caves in the limestone hillsides on the property. Bonnie Blue became the first Grade A goat dairy in Tennessee. Today, Bonnie Blue’s herd of Nubian and Saanen goats produce around 10,000 pounds of artisan cheese every year. The goats are fed a mixture of wild grasses from browsing on pasture, supplimented with alfalfa hay and grain. The flavors of the land and hay are embodied in the cheese. In homage to the history of Tennessee, Tanasi Tomme was named after the capital of the Cherokee, from which the state took its name. It is a creation of Gayle’s, who was inspired to produce an aged cheese as a result of the cheese cave that Jim built. Each wheel of Tanasi Tomme is handcrafted by Gayle, who starts the process by spending up to four hours each day milking the does. After the milk is transferred to the cheese studio, she warms the milk and sets the curd. She then cuts the curds to pea-sized pieces and hand ladles the curd into the molds. Once the cheeses have drained, each newly formed wheel is brined and afterwards placed on wooden shelves made from ash to age. During the four-month maturing process the wheels are turned periodically.The end result is a cheese that has a smooth, but firm texture. The flavors of Tanasi Tomme are of clean hay and rich butterscotch with hints of toasted nuts and a bit of smoke.Serve it with spicy peach chutney and Hazelnut Crostini."
Tarentais (France),,France,Savoie,"2.5 ins diameter, 4 ins high",1 lb,,Goat,,Semi Soft,Animal,Natural,,,"Made in the Tarentais Valley in the Savoie region of South Eastern France, Tarentais is a small cylindrical cheese made from raw goat`s milk. Production of Tarentais is usually `fermier` or farmhouse and as such, cheeses are only made on a small-scale by various cheesemakers throughout the region. Raw milk is allowed to acidify and coagulate before being very gently ladled into cylindrical molds or forms. The gentle handling of the curd ensures that as much moisture as possible is retained which, when combined with the slow, natural drainage of the whey, results in Tarentais` delicate, yet dense, texture. Cheeses mature for between 15 days to three months before release with those found in the United States being at least two months old. During the early stages of the ripening they are washed with a local white wine. If allowed to mature to an age of about four weeks, a dusting of blue, yellow and white molds often appears on the rind together with slight brown patches. The interior of the cheese is silky and dense. As Tarentais matures, two distinct textures develop with the interior of the cheese remaining ivory white in color while, just under the rind, where the cheese starts to `break down` and develop, a darker stripe appears, encasing the paler interior. Flavors intensify with age. When eaten young at about two to three weeks, cheeses are fresh, citrus-like and tangy becoming more piquant with distinct almond notes at about six weeks."
Tarentaise (Spring Brook),Spring Brook Farm,United States,Vermont,"15 ins diameter, 3.25 ins high",18 lbs, www.sbfcheese.com,Cow,,Firm,Animal,Washed,,,"Spring Brook Farm, owned by Jeremy Stephenson, is a traditional dairy farm located in Reading, Vermont. The farm spans more than 500 acres and is home to 100 registered Jersey cows. The 42 milking cows produce over 600,000 lbs. of milk each year, now used to make artisanal Tarentaise cheese.Originally produced at neighboring Thistle Hill Farm, Tarentaise was so successful that Thistle Hill cheesemakers John and Janine Putnam partnered with Jeremy and Spring Brook Farm, as well as the Farms for City Kids Foundation, to expand production. The business arrangement between the two farms and the foundation is unique. As part of a licensing agreement, Spring Brook Farm and the Farms for City Kids Foundation can make Tarentaise, and call it by this name, as long as it`s made according to certain stipulations. The milk must come from Jersey breed cows, the cows must graze on local pasture when weather permits, fermented feed is prohibited, copper-lined vats must be used, the milk must be raw and the cheese must be a ""Farmstead Cheese"" (according to the definition used by the American Cheese Society).Tarentaise is a semi-hard ‘Alpine’ style cheese modeled afterits French cousins Abondance and Beaufort. It ismade from fresh, raw milk that flows directly from the milking barn adjacent to the creamery into twin copper vats.After coagulation, the curds and whey are moved to the gravity-fed molds by means of a vacuum system, identical to the system used by small and medium sized producers of the Savoie and Comté regions of France. Molds are filled, allowed to drain, and then moved to an adjacent press.After pressing the cheeses are brined and ready for aging in Spring Brook`s aging room, adjacent to the make (production) room.Spring Brook`s Tarentaise is slightly different than thatof its sister farm Thistle Hill, primarily in its texture-- a difference Jeremy Stephenson attributes to variationsin pressing and other subtle differences in the make process,as well as the fact that the milk is sourced from different farms.As John Putnam of ThistleHill stated on a radio program before Spring Brook Farm had made itsfirst pound of cheese, ""we know the cheese will be different and wewill celebrate that difference."" According to Jeremy, “this is the beautyand appeal of a raw milk farmstead cheese. Theseasons, the land and the direct input from the hand of the cheesemaker are reflected through the milk. All these subtleties combined result in a complex and nuanced product.”Tarentaise has the classic nuttiness of a traditional Alpine cheese, with complex layers of flavor, underscored with herbaceous, savory, vegetal notes.Pair it with Alsatian whites (Pinot Gris, Riesling, Gewurtztraminer), or with English Brown Ales such as Samuel Smith`s Nut Brown."
Tarentaise (Thistle Hill),Thistle Hill Farm,United States,Vermont,"14 ins diameter, 4 ins high",20 lbs, www.thistlehillfarm.com,Cow,,Hard,Animal,Washed,,,"Thistle Hill Farm Tarentaise is an aged, raw milk, organic cheese made by John and Janine Putnam at their family farm in North Pomfret, Vermont. Certified organic milk comes from the farm`s grass-fed Jersey cows.Thistle Hill Farm Tarentaise is made using a copper cheese vat in the tradition of cheesemaking the Tarentaise Valley in the Savoie region of the French Alps. The copper vat, essential to developing the proper flavor, is one of only a few in the United States, and was custom built for Thistle Hill Farm in Switzerland.Following in the footsteps of the cheesemakers of the Savoie, Thistle Hill Farm Tarentaise is made using imported French cultures that give the cheese its character while aging. Also, the Putnam`s follow the traditional Savoie process of making their own rennet, using the whey from the previous cheesemaking.For production, the curds are carefully taken from the copper vat and given an initial pressing for ten minutes, referred to as the ""forepress"" in order to expel some of the whey. Afterwards, each young wheel is cut into quarters and each quarter placed into a Tarentaise mold or form where it undergoes a second pressing at a pressure of 65lbs for two and a half hours. After unmolding, the cheeses are wrapped in a cheesecloth and transferred to a `heat room` where they`re turned (flipped) and left to sit overnight. Early the next morning, the wheels are brined for about 3 hours before being transferred to the aging room.In order to produce a traditional Tarentaise, the Putnams imported the correct size molds from France to create a cheese approximately 14 inches in diameter and four inches high, with the concave sides similar to Beaufort, Abondance and Tarentaise cheeses.Cheeses range in age from four months and up, with six months considered optimal. The aging room contains only Tarentaise cheese and its atmosphere is carefully adjusted to foster the development of Tarentaise`s characteristics.During the aging process, the cheeses are washed twice each week to develop the natural rind and butterscotch color.The flavors of Tarentaise can be quite assertive and complex. Forward fruit flavors are apparent, with an underlying caramel sweetness, earthy notes and nuts."
Taula,Caseificio Bertagni,Italy,Tuscany,"6 ins diameter,  3-4 ins high",3-4 lbs,www.caseificiobertagni.com,Sheep,,Hard,Animal,Natural,,,"Made by Caseificio Bertagni near Pieve Fosciana in the province of Lucca, Italy, Taula is an aged sheep’s milk cheese, similar in style to a pecorino. Milk for production comes from the (somewhat rare) breeds of Massese and Garfagnina sheep and is sourced from seventeen small farms, located high in the mountains between Northern Toscana and Emilia Romagna. This mountain range is known as ""Appennino Tosco Emiliano"" and the majority of the farms are situated at an altitude of over 3,000 feet. Caseificio Bertagni is owned and run by Bruno Bertagni and his son Verano. Although they make a variety of cheeses, Taula is one of the most traditional cheeses of ""Alta Garfagnana"", the highest part of Toscana region. In the local dialect, ""Taula"" means `a wooden table specifically for cheese maturing`. Upon arrival at the creamery, the milk is pasteurized at 161-165° F (72-74°C) for 15 seconds. It is then allowed to cool to 95-104° F (35-40°C), when the starter cultures are added. After a short period of waiting to allow the cultures to become fully active, rennet is added to coagulate the milk. This normally takes about 40 minutes, at which point the curd is cut with a special cheese “harp” (known as a “chitarra”), and left to rest for 10 minutes, soaking in the whey. The curd is further broken down with a special implemt called a “spino” – the same instrument that is used for the production of Parmigiano Reggiano – which looks rather like a giant balloon whisk on the end of a pole. Simultaneously, the curds and whey are re-heated and cooked at a temperature of 107°F (42 °C ). At the end of this process, each piece of curd is about the size of a grain of rice. The curds are then transferred to the cheese molds and kept at a temperature of 100°F (38 °C ) for four hours. This allows the pH level to get to the desired 5.1, at which point the cheeses are dry salted by hand. The following day, the cheeses are taken out of their molds and transferred to maturing rooms where they’re kept at a temperature of 46-50° F (8-10°C) for a minimum of 60 days. The texture of Taula is very firm and pleasantly waxy. The exterior rind is a dark beige color with the interior slightly lighter. Flavors are very rich, earthy and balanced with notes of hay, caramel and nuts. This would pair very well with a medium weight Chianti Classico, Pinot Noir or Rhone wine."
Taupinière,Laura Chenel's Chèvre,United States,California,"3-4 ins diameter, 1-2 ins high",9 oz,www.laurachenel.com,Goat,Pasteurised,Semi Soft,Microbial,Ash coatedGeotricum,Soft-Ripened (Brie-like),,"Located in a state-of-the-art creamery in Sonoma, California, Laura Chenel`s has been in operation since the late 1970s. Laura Chenel was one of a small group of women cheesemakers to spearhead the production of goat`s milk cheeses in the United States. After nearly three decades of growing the business, Chenel sold her company in 2006 to French family cheese producers, Laiteries H. Triballat, who continue the tradition of Laura Chenel’s cheesemaking of both fresh and aged cheese. Milk for production comes from family goat dairies located in the western United States.High quality milk is crucial to excellent cheese production and the company has very close relationships with their producers to ensure animal health, nutrition and general well being. One of the first aged cheeses that Chenel created, Taupinière was her American interpretation of the cheesemaking traditions she learned in France. Each round of Taupinère is formed into a nine-ounce round that is then coated with vegetable ash and aged for about eight to 12 days before release, which allows the wrinkly Geotrichum candidummold to grow.The interior texture is bright white in color and pleasantly chalky when young, becoming softer under the rind as the cheese ages.Flavors are fresh and lemony, with sweeter, smooth milky notes on the finish and an underlying lactic tang.Pair with a sancerre or a wheat beer."
Tavoliere,La Casearia Carpenedo,Italy,Veneto,13 in diameter x 4 in height,,www.lacasearia.com,Cow,Pasteurised,Firm,Animal,Flavor Added,Alpine-style,Flavor added to rind,"La Casearia is a creamery and aging facility in the Veneto region of Italy. The history of the company dates back to the early 1900s, when Ernesto Carpenedo began working as a “casoin” (a word in local dialect for a cheesemonger) in a shop in the village of Preganziol. Ernesto eventually founded his own company, which is today run by his son Antonio and his grandsons Ernesto and Alessandro, who have over thirty years of experience in the dairy-cheese sector. Antonio has been devoting his attention to affinage since 1976, the year that he began steeping his first rounds of cheese in wine, giving birth to La Casearia’s signature Ubriaco (which translates into “drunken”).  Talvoliere is a semi-firm cheese aged for 45 days and rubbed with tomato sauce and extra-virgin olive oil.With a striking paste containing large eyelets, Tavoliere is mild in flavor with a slight tang. Aromas are reminiscent of yogurt and butter, with only a slight hint of tomato near the rind.Pair it with a Sauvignon Blanc or with a pale ale."
TeaHive,Beehive Cheese Company,United States,Utah,"12-14 ins diameter, 3 ins high",18 lbs,www.beehivecheese.com,Cow,,Firm,Microbial,Flavored,,,"Founded in 2005 by brothers-in-law Tim Welsh and Pat Ford, Beehive Cheese Company is located at the mouth of the Weber Canyon near Uintah in UT - about half an hour north of Salt Lake City. They are one of the few artisanal cheesemakers in Utah. Having previously worked in the worlds of software and real estate, both men harbored a belief in revitalizing the concept of the local creamery. With the help of The Western Dairy Center at Utah State University, they began to turn their vision into reality. Pat and Tim built the family owned and operated creamery from the ground up. Jersey cow’s milk, known for its high butterfat content, is sourced from Wadeland South Dairy, located about 10 miles from the creamery. The milk arrives from Wadeland at about midnight when it’s just a few hours old. Cheesemaking begins almost immediately, starting with pasteurization and the addition of starter cultures. After being left to ‘ripen’, microbial rennet is added to coagulate the milk, which is then hand cut. The excess whey is drained off and the remaining curds are “cheddared” to achieve the right moisture and pH level before being put through a mill and finally transferred into molds for pressing. Hand-rubbed with black tea and bergamot, the flavors of TeaHive combine to produce an aromatic cheese with a delicate fragrance of orange blossoms. The rich, milky flavor imparted by the Jersey milk is balanced by a clean sparkling finish that lingers on the palate. Wine pairing suggestions include fruit-forward or floral wines, blonde beers and scotch. TeaHive pairs well with savory scones, biscuits, or marmalade."
Ted,Kenny's Farmhouse Cheese,United States,Kentucky,,8 lbs,kennyscheese.com,Cow,,Hard,Microbial,Natural,Cheddar-like,,"Father-and-son team Kenny and Jared Mattingly have run Kenny’s Farmhouse Cheese out of their farm in the hills of Barren County, Kentucky since 1998. While the farmstead has been milking on the land for 40 years, the family decided to make cheese about 20 years ago to sustain the dairy farm. Kenny, the founder, still manages the dairy farm, creamery, and team. The methods used and scale of the operation have changed over the past few decades, but the farm’s commitment to harvesting high quality milk and producing fantastic cheese have not. Their mixed-breed herd—including Holstein, Jersey and Brown Swiss cows—spends most of its time grazing outside on fresh pasture, or munching on high-quality alfalfa hay.  “Ted” was inspired by rustic British cheddars and named after Kenny’s grandfather, “Tennessee Ted,"" a burly iron worker whose jobs ranged from helping build railroads in Alaska to skyscrapers in New York City. In his memory, Kenny and Jared decided this wooly-rinded cheddar style was the appropriate cheese to carry on Ted’s name. The cheddar is versatile and not incredibly delicate, a perfect table cheese.  Kenny’s started making Ted around three years ago after constructing a room for aging blue cheeses. Before being made into cheese, the milk is inoculated with some roquefort cultures to allow rind development further along in the process. The cheddar is larded early in the blue room to keep the rind from cracking, then constantly brushed and turned for even ripening. Ted is sold after eight to 12 months of aging.  The color and flavor of each wheel depend on what time of year the cows were milked. Batches made when the cows are grazing more heavily, from early spring to early winter, have deeper yellow paste and a grassier flavor, while winter wheels trend more sharp.This cheese yields buttery caramel notes and slightly piquant flavors of cave and earth closer to its rind.Pair it with a Normandy cider, a spicy rye whisky, grilled peaches, milk chocolate, or wildflower honey."
Teleeka,Tomales Farmstead Creamery,United States,California,3 in x 3 in x 1.5 in,6 oz,www.tolumafarms.com,SheepCowGoat,Pasteurised,Semi Soft,Animal,Geotricum,Soft-Ripened (Brie-like),,"Years ago, before husband-and-wife duo Tamara Hicks and David Jablons started making cheese in Marin County, California, the pair traveled to Italy and ate the famously oozing cheese known as La Tur. They loved it so much that they tracked down the creamery in the hopes of meeting the cheesemaker. “We thought: we can do a local version,” Hicks says. “And we held onto this idea for almost a decade!” And so many years after purchasing Toluma Farms’ 160 acres of rolling green hills, launching a sheep dairying operation on the property, and later building Tomales Farmstead Creamery, the duo released Teleeka. It’s the first cheese they’ve made using three types of milk: from Toluma’s herds of sheep and goats, plus creamy Jersey cow’s milk that’s sourced from a neighbor’s farm two miles down the road. Like all of the Marin County-based creamery’s cheeses, this one’s name, which translates to “three,” draws from the language of the coastal region’s original inhabitants: the Miwok. “From everything we’ve come to learn about this tribe we know they took excellent care of the land,” says Hicks. “Since we have so many school age tours, we wanted to educate people about those who lived on this land and had such great respect for it—and also teach some of the few words that are still known.”This cute little moldy cube has a thick, oozing creamline and a fluffy popcorn-yellow inner paste. Aromas are of cultured butter, grass, and acid. We love how the buttery creamline plays off the slightly gamy, bitter inner paste, the cow’s milk lending a general creaminess while tempering the more barnyardy sheep’s and goat’s milks.Tamara Hicks suggests pairingTeleekawith sweet maui onions and truffles."
